0,1,2
-0.7604898415463324,-0.06265510929779436,-0.30206072216184254
-0.7549809093773346,-0.08355179585562122,-0.30204907638663
-0.7490011414918917,-0.10440378805780695,-0.3020358497066847
-0.7425511900723194,-0.1251981125513371,-0.30202102734692254
-0.7356320002055866,-0.14592174877704445,-0.30200459216062314
-0.7282448112535164,-0.1665616366652187,-0.3019865247686124
-0.720391158047192,-0.1871046844067979,-0.30196680365024525
-0.7120728719044559,-0.2075377762957597,-0.3019454051970571
-0.7032920814693122,-0.22784778063827768,-0.30192230373725193
-0.6940512133720108,-0.24802155772415369,-0.3018974715371455
-0.6843529927085964,-0.268045967855982,-0.3018708787841306
-0.674200443338732,-0.2879078794314453,-0.3018424935545503
-0.6635968880006579,-0.3075941770740868,-0.3018122817689773
-0.6525459482422112,-0.32709176980784926,-0.30178020713671483
-0.6410515441669085,-0.34638759927061863,-0.3017462310908236
-0.6291178939941818,-0.3654686479619598,-0.30171031271458515
-0.6167495134329533,-0.3843219475201825,-0.301672408660015
-0.6039512148678315,-0.402934587023829,-0.3016324730588047
-0.5907281063573243,-0.4212937213126326,-0.3015904574258994
-0.577085590443564,-0.4393865793229527,-0.3015463105557749
-0.5630293627731636,-0.457200472432656,-0.3014999784113697
-0.548565410528929,-0.4747228028103755,-0.30145140400554193
-0.5337000106722771,-0.4919410717640473,-0.30140052727484484
-0.5184397279963259,-0.5088428880835969,-0.301347284945361
-0.5027914129897464,-0.5254159763726174,-0.3012916103902782
-0.4867621995115888,-0.5416481853638613,-0.3012334334788495
-0.47035950227742024,-0.5575274962133456,-0.3011726804163383
-0.45359101415723685,-0.5730420307678534,-0.30110927357451184
-0.4364647032857415,-0.5881800598006036,-0.3010431313122127
-0.41898880998570454,-0.6029300112098459,-0.3009741677855044
-0.40117184350525614,-0.6172804781751375,-0.3009022927468536
-0.38302257857008676,-0.6312202272660474,-0.3008274113327818
-0.3645500517516625,-0.6447382064980424,-0.300749423839386
-0.3457635576526963,-0.657823553330305,-0.3006682254850982
-0.3266726449112428,-0.6704656026002466,-0.3005837061600211
-0.30728711202492187,-0.6826538943894869,-0.3004957501611486
-0.2876170029969032,-0.694378181816086,-0.3004042359127472
-0.2676726028054219,-0.7056284387478347,-0.3003090356711463
-0.24746443269872465,-0.7163948674314288,-0.30021001521315643
-0.22700324531748048,-0.7266679060323794,-0.30010703350730417
-0.20630001964682246,-0.7364382360805427,-0.29999994236705047
-0.18536595580032134,-0.7456967898161808,-0.2998885860851309
-0.16421246963832234,-0.7544347574315078,-0.29977280104813725
-0.1428511872232108,-0.7626435942027117,-0.29965241533044096
-0.12129393911430324,-0.7703150275074894,-0.29952724826654464
-0.09955275450519194,-0.7774410637231793,-0.29939711000094005
-0.07763985520650173,-0.7840139950006276,-0.2992618010145473
-0.055567649477146874,-0.7900264059089821,-0.2991211116268155
-0.0333487257073046,-0.795471179946665,-0.2989748214725788
-0.01099584595644833,-0.80034150591384,-0.29882269895278724
0.011478060650090632,-0.804630884141756,-0.2986645006582668
0.034059904662441305,-0.8083331325744223,-0.2984999707657175
0.056736443181678135,-0.8114423926981417,-0.2983288404052255
0.07949428686564174,-0.8139531353145076,-0.29815082699865464
0.1023199070611484,-0.8158601661525557,-0.2979656335683948
0.12519964305852951,-0.8171586313158391,-0.29777294801608317
0.14811970946433398,-0.8178440225602923,-0.29757244237108355
0.17106620368792308,-0.8179121823988383,-0.2973637720087121
0.19402511353758847,-0.8173593090287854,-0.2971465748384426
0.21698232492173217,-0.8161819610781645,-0.2969204704626135
0.2399236296505596,-0.814377062167257,-0.2966850593064985
0.2628347333336602,-0.8119419052816643,-0.296439921721002
0.28570126336877827,-0.8088741569533829,-0.29618461705970417
0.3085087770170166,-0.8051718612464561,-0.295918682732519
0.33124276955966625,-0.8008334435438812,-0.2956416332388462
0.353888682531816,-0.7958577141325723,-0.2953529591838123
0.37643191202787407,-0.7902438715832867,-0.2950521262820082
0.3988578170741217,-0.7839915059225437,-0.2947385743540587
0.4211517280634297,-0.7771006015936817,-0.2944117163224113
0.4432989552472947,-0.7695715402043126,-0.29407093721392263
0.4652847972804001,-0.7614051030575576,-0.293715593178161
0.4870945498129799,-0.7526024734645571,-0.29334501053184936
0.5087135141263601,-0.7431652388358695,-0.29295848484156045
0.5301270058071829,-0.7330953925494824,-0.29255528005864767
0.5513203634559745,-0.722395335593272,-0.2921346277224878
0.5722789574259171,-0.7110678779798543,-0.2916957262504123
0.5929881985879136,-0.6991162399318702,-0.291237740335248
0.613433547118317,-0.6865440528358462,-0.2907598004741747
0.6336005213060116,-0.6733553599628577,-0.29026100265564864
0.6534747063759129,-0.6595546169543093,-0.2897404082344506
0.6730417633263742,-0.6451466920712073,-0.28919704402848784
0.6922874377784806,-0.6301368662053697,-0.2886299026748235
0.7111975688357504,-0.6145308326510593,-0.2880379432865028
0.72975809795339,-0.5983346966355618,-0.28742009245609923
0.7479550778169226,-0.5815549746072423,-0.28677524565647133
0.7657746812307777,-0.5641985932796176,-0.2861022690939895
0.7832032100182607,-0.54627288842995,-0.2854000020744063
0.8002271039352354,-0.5277856034508317,-0.28466725994654607
